isolateAccession,SangerSequenceSBT,includedInAnalysisForMS,elGatoSTCalls,cdcID,samplesSet,Year,Region,State,Source,Type,panGenomeRegion,whyExcludeRegion,panGenomeYear,whyExcludeYear,NCBI_BioProject,NCBI_SRR,dataUseConfirmed,spadesAssemblyLength,spadesN50,spadesNumberOfContigs>1kbp,preQC-AvgReadLength,preQC-NumberOfReads,preQC-Coverage,preQC-OverallSequenceQuality,postQC-AvgReadLength,postQC-NumberOfReads,postQC-Coverage,postQC-OverallSequenceQuality,numOfSpacers(IA-IC-IF-IIB),CAS-TypeIA,CAS-TypeIC,CAS-TypeIF,CAS-TypeIIB,Legionella pneumophila str. Lens plasmid pLPL,Legionella pneumophila C9_S plasmid unamed2,Legionella pneumophila FFI102 ,Legionella pneumophila plasmid pLELO,Legionella sainthelensi LA01-117 plasmid pLA01-117_150k
C360,Y,included,213,M2019007887,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447559,Y,3576722,57912,117,230.8855387,605113,40.98151383,Good,209.8508412,425875,26.21486602,Good,44,0,2,0,0,0,0,0,0,0
C361,Y,included,213,M2019015694,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447558,Y,3548692,135313,75,224.3427917,702695,46.24169711,Good,207.1760647,597661,36.32028753,Good,45-89,0,1,1,0,0,0,0,0,0
C362,N,included,213,M2019016266,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447557,Y,3660321,135409,59,235.4538931,1347813,93.08727091,Good,214.0178687,1094990,68.74086127,Good,45,0,1,0,0,0,0,0,0,1
C363,N,included,213,M2019017774,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447556,Y,3685857,137958,58,240.5764298,465453,32.84609094,Good,216.1052014,405755,25.72076501,Good,43,0,1,0,0,0,0,0,0,0
C364,N,included,213,M2019018966,state,2019,NC,MN,Clinical,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447555,Y,3537760,39464,198,215.8389001,398163,25.20840692,Good,198.9161121,344686,20.11168173,Good,42,0,1,0,0,0,0,0,0,0
C365,N,included,227,C2014017331,state,2014,NC,MN,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447554,Y,3576578,159252,47,230.6605283,1173005,158.7296004,Good,210.9550448,1109594,137.3215802,Good,43,0,1,0,0,0,0,0,0,0
C366,N,included,227,C2016002734,state,2016,NC,MN,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447553,Y,3391675,92081,82,232.3540523,587402,80.0701144,Good,210.6822125,402294,49.7228717,Good,34,0,1,0,0,0,0,0,0,0
C367,N,included,289,SM387,cdc,2016,C,IN,Clinical,Sporadic,Exclude,non-ST222 or ST213 isolate,Exclude,non-ST222 or ST213 isolate,PRJNA861313,SRR20447552,N/A,3595202,135409,55,236.9590796,719543,100.0264565,Good,217.8959263,640700,81.90088829,Good,49-73,0,1,1,0,1,0,0,0,0
E155,Y,included,222,F4314,state,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447551,Y,3462154,162801,48,251,1724377,126.9581907,Good,227.3159908,1506870,100.4755879,Good,45,0,1,0,0,0,0,0,0,0
E156,Y,included,222,F4312,state,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447548,Y,3458843,162800,47,251,2064111,151.9712904,Good,226.6640093,1777353,118.1710351,Good,45,0,1,0,0,0,0,0,0,0
E157,Y,included,222,F4315,cdc,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447547,N/A,3466688,162800,54,251,2157970,158.8817102,Good,226.8996155,1867031,124.2624953,Good,45,0,1,0,0,0,0,0,0,0
E159,Y,included,222,F4316,cdc,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447546,N/A,3463876,162801,50,251,1309833,96.43716412,Good,227.2593373,1141305,76.08135476,Good,45,0,1,0,0,0,0,0,0,0
E160,Y,included,222,F4313,cdc,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447545,N/A,3460503,161553,47,251,2018403,148.6060142,Good,225.6600731,1737362,115.0005254,Good,45,0,1,0,0,0,0,0,0,0
E161,Y,included,222,F3898,cdc,2010,NC,MI,Environmental,Outbreak,Exclude,outbreak Isolate C171 Used,Exclude,outbreak Isolate C171 Used,PRJNA861313,SRR20447544,N/A,3531398,164448,53,243.6826142,743669,53.15682152,Good,219.5491253,699904,45.0738825,Good,43,0,1,0,0,0,0,0,0,0
E162,Y,included,222,F3899,cdc,2010,NC,MI,Environmental,Outbreak,Exclude,outbreak Isolate C171 Used,Exclude,outbreak Isolate C171 Used,PRJNA861313,SRR20447543,N/A,3530670,171039,50,248.8498173,608752,44.4357494,Good,224.5667979,577675,38.05256189,Good,43,0,1,0,0,0,0,0,0,0
E163,Y,included,222,F3900,cdc,2010,NC,MI,Environmental,Outbreak,Exclude,outbreak Isolate C171 Used,Exclude,outbreak Isolate C171 Used,PRJNA861313,SRR20447542,N/A,3529902,173274,50,249.55831,1119679,81.96347264,Good,225.2676747,1043580,68.95716607,Good,43,0,1,0,0,0,0,0,0,0
E164,Y,included,222,F3901,cdc,2010,NC,MI,Environmental,Outbreak,Exclude,outbreak Isolate C171 Used,Exclude,outbreak Isolate C171 Used,PRJNA861313,SRR20447541,N/A,3533250,171315,53,245.9241216,476842,34.39777974,Good,221.5128956,445851,28.9696695,Good,43,0,1,0,0,0,0,0,0,0
E165,Y,included,222,F1930,cdc,2002,NE,VT,Environmental,Outbreak,Include,None,2001-2005,None,PRJNA861313,SRR20447540,N/A,3422888,149323,46,225.7631756,760006,50.32976557,Good,199.8385748,604819,35.45353392,Good,43,0,1,0,0,0,0,0,0,0
E166,Y,included,222,F1931,cdc,2002,NE,VT,Environmental,Outbreak,Exclude,outbreak Isolate E165 Used,Exclude,outbreak Isolate E165 Used,PRJNA861313,SRR20447539,N/A,3424520,149345,49,212.2878543,2160732,134.549111,Good,191.8293691,1841566,103.6232402,Good,43,0,1,0,0,0,0,0,0,0
E167,Y,included,222,F3407,cdc,2009,NE,MD,Environmental,Outbreak,Exclude,outbreak Isolate C174 Used,Exclude,outbreak Isolate C174 Used,PRJNA861313,SRR20447537,N/A,3371171,149323,47,225.8994278,709331,47.00227213,Good,202.8762787,598765,35.63218527,Good,45,0,1,0,0,0,0,0,0,0
E168,Y,included,222,F3415,cdc,2009,NE,MD,Environmental,Outbreak,Exclude,outbreak Isolate C174 Used,Exclude,outbreak Isolate C174 Used,PRJNA861313,SRR20447536,N/A,3370963,135313,49,227.7621419,908819,60.71747709,Good,204.1443649,785295,47.02458917,Good,45,0,1,0,0,0,0,0,0,0
E169,Y,included,222,F3436,cdc,2009,NE,MD,Environmental,Outbreak,Exclude,outbreak Isolate C174 Used,Exclude,outbreak Isolate C174 Used,PRJNA861313,SRR20447535,N/A,3369868,135409,49,220.9105624,2045795,132.5663734,Good,199.5571469,1730059,101.2705064,Good,45,0,1,0,0,0,0,0,0,0
E170,Y,included,222,F3442,cdc,2009,NE,MD,Environmental,Outbreak,Exclude,outbreak Isolate C174 Used,Exclude,outbreak Isolate C174 Used,PRJNA861313,SRR20447464,N/A,3369372,149323,48,211.3745089,1543619,95.7078386,Good,191.6674811,1299117,73.03843899,Good,45,0,1,0,0,0,0,0,0,0
E171,Y,included,222,F3467,cdc,2009,NE,MD,Environmental,Outbreak,Exclude,outbreak Isolate C174 Used,Exclude,outbreak Isolate C174 Used,PRJNA861313,SRR20447463,N/A,3369453,149323,48,228.4704665,952984,63.86610917,Good,206.8004166,789670,47.90179966,Good,45,0,1,0,0,0,0,0,0,0
E172,Y,included,222,D5938,cdc,2009,NE,PA,Environmental,Sporadic,Include,None,2006-2010,None,PRJNA861313,SRR20447462,N/A,3367533,149345,49,222.0796122,1779338,115.9102722,Good,200.3669382,1330859,78.21911343,Good,45,0,1,0,0,0,0,0,0,0
E173,Y,included,213,F4848,cdc,2018,C,IL,Environmental,Sporadic,Include,None,2016-2020,None,PRJNA861313,SRR20447461,N/A,3534186,149323,48,245.5301752,534793,38.51637171,Good,224.5459305,478048,31.48701389,Good,43,0,1,0,0,0,0,0,0,0
E174,Y,included,222,2013191288,cdc,2013,C,OH,Environmental,Outbreak,Exclude,outbreak Isolate C165 Used,Exclude,outbreak Isolate C165 Used,PRJNA861313,SRR20447460,N/A,3452235,103356,62,181.2114753,1320504,70.19080103,Good,187.3926255,926845,50.94650415,Good,13,0,1,0,0,0,0,0,0,0
U1,N,included,222,D7745,state,Unknown,NE,MA,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447455,N/A,3496849,51672,122,246.7527496,894939,64.77541687,Good,224.9708961,723992,47.77656115,Good,45,0,1,0,0,1,0,0,0,0
U10,N,excluded,2317,LP000231,cdc,Unknown,NE,NY,Unknown,Unknown,Exclude,not officially part of clonal complex,Exclude,not officially part of clonal complex,PRJNA861313,SRR20447459,N/A,3565628,149323,49,240.6350365,499491,35.25667154,Good,220.4557955,464693,30.04985857,Good,43,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
U11,N,included,213,LP000397,cdc,Unknown,NE,NY,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447458,N/A,3600547,162928,49,214.1580469,788747,49.54808789,Good,203.9362127,614934,36.78558248,Good,15,0,1,0,0,0,0,0,0,1
U12,N,included,213,LP000244,state,Unknown,NE,NY,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447456,Y,3573560,90310,72,241,382948,54.14291392,Good,217.0446996,321927,40.99126907,Good,42,0,1,0,0,0,0,0,0,0
U2,Y,included,213,D7747,state,2016,NE,MA,Unknown,Unknown,Include,None,2016-2020,None,PRJNA861313,SRR20447454,N/A,3495953,56104,113,242.5666363,1070731,76.18443022,Good,221.8090529,1003231,65.27321324,Good,38,0,1,0,0,0,0,0,0,0
U3,N,included,213,D7749,state,Unknown,NE,MA,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447453,N/A,3764066,149323,54,243.9312588,899271,64.34470687,Good,223.1314988,828677,54.23766061,Good,42,0,1,0,0,0,0,1,0,1
U4,N,included,222,D7750,cdc,Unknown,NE,MA,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447452,N/A,3508296,149323,49,246.7067614,919023,66.50621227,Good,224.3189317,848818,55.85155771,Good,44,0,1,0,0,0,0,0,0,0
U5,N,included,222,D7751,cdc,Unknown,NE,MA,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447451,N/A,3563404,66504,109,243.4847762,640347,45.73429334,Good,216.189556,362832,23.00885853,Good,43,0,2,0,0,0,0,0,0,0
U6,N,included,222,D7748,cdc,Unknown,NE,MA,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447450,N/A,3469522,68784,88,243.6786495,890162,63.62698015,Good,222.8399786,768622,50.24128058,Good,43,0,1,0,0,0,0,0,0,0
U7,Y,included,213,C2018010023,cdc,2018,NC,MN,Unknown,Unknown,Include,None,2016-2020,None,PRJNA861313,SRR20447449,N/A,3596294,135400,68,242.2276031,472432,33.56740125,Good,221.8948112,414217,26.96061826,Good,45,0,1,0,0,0,0,0,0,0
U8,Y,included,213,LP000378,cdc,Unknown,NE,NY,Unknown,Unknown,Exclude,excluded from Year,Exclude,unknown Year,PRJNA861313,SRR20447448,N/A,3606494,32681,191,219.0428215,667538,42.89037069,Good,202.3958743,524131,31.11689712,Good,43,0,1,0,0,0,0,0,0,0
U9,Y,included,222,CL16-200881,cdc,2016,NC,MI,Unknown,Unknown,Include,None,2016-2020,None,PRJNA861313,SRR20447447,N/A,3597586,135407,52,241.3034658,764129,54.08601986,Good,222.5257651,716493,46.76781027,Good,48-30,0,1,0,1,1,0,0,0,0
